,plantname,date,batch,sample,amplicon,frac,cooc,count,mut_all,mut_oneless,BR,EU,UK,ZA,IN2,IN1,IN3,AY42,mu,om
104,Lugano (TI),2021-12-06,20211217_HVTWGDRXY,05_2021_12_06,78,,,0,0,0,,,1.0,,,,,,,
105,Lugano (TI),2021-12-06,20211217_HVTWGDRXY,05_2021_12_06,92,,,0,0,0,,,1.0,,,,,,,
106,Lugano (TI),2021-12-06,20211217_HVTWGDRXY,05_2021_12_06,93,,,0,0,0,,,1.0,,,,,,,
107,Lugano (TI),2021-12-06,20211217_HVTWGDRXY,05_2021_12_06,76,,,0,0,0,1.0,,,1.0,,,,,,
108,Lugano (TI),2021-12-06,20211217_HVTWGDRXY,05_2021_12_06,73,,,0,0,0,,,,1.0,,,,,,
109,Lugano (TI),2021-12-06,20211217_HVTWGDRXY,05_2021_12_06,91,,,0,0,0,,,,,1.0,,,,,
110,Lugano (TI),2021-12-06,20211217_HVTWGDRXY,05_2021_12_06,76,,,0,0,0,,,,,,1.0,1.0,,,
111,Lugano (TI),2021-12-06,20211217_HVTWGDRXY,05_2021_12_06,76,,,0,0,0,,,,,1.0,,,1.0,,
112,Lugano (TI),2021-12-06,20211217_HVTWGDRXY,05_2021_12_06,73,,,0,0,0,,,,,,,,1.0,,
113,Lugano (TI),2021-12-06,20211217_HVTWGDRXY,05_2021_12_06,91,,,0,0,0,,,,,,,,1.0,,
114,Lugano (TI),2021-12-06,20211217_HVTWGDRXY,05_2021_12_06,92,,,0,0,0,,,,,,,,,1.0,
115,Lugano (TI),2021-12-06,20211217_HVTWGDRXY,05_2021_12_06,72,,,0,0,0,,,,,,,,,,1.0
116,Lugano (TI),2021-12-06,20211217_HVTWGDRXY,05_2021_12_06,75,,,0,0,0,,,,,,,,,,1.0
117,Lugano (TI),2021-12-06,20211217_HVTWGDRXY,05_2021_12_06,76,,,0,0,0,,,,,,,,,,1.0
118,Lugano (TI),2021-12-06,20211217_HVTWGDRXY,05_2021_12_06,78,,,0,0,0,,,,,,,,,,1.0
119,Lugano (TI),2021-12-06,20211217_HVTWGDRXY,05_2021_12_06,88,,,0,0,0,,,,,,,,,,1.0
120,Lugano (TI),2021-12-07,20211217_HVTWGDRXY,05_2021_12_07,71,,,0,0,0,1.0,,,,,,,,,
121,Lugano (TI),2021-12-07,20211217_HVTWGDRXY,05_2021_12_07,95,0.0,2.0,8727,0,0,1.0,,,,,,,,,
122,Lugano (TI),2021-12-07,20211217_HVTWGDRXY,05_2021_12_07,77,,,0,0,0,,1.0,,,,,,,,
123,Lugano (TI),2021-12-07,20211217_HVTWGDRXY,05_2021_12_07,72,,,0,0,0,,,1.0,,,,,,,
124,Lugano (TI),2021-12-07,20211217_HVTWGDRXY,05_2021_12_07,78,,,0,0,0,,,1.0,,,,,,,
125,Lugano (TI),2021-12-07,20211217_HVTWGDRXY,05_2021_12_07,92,,,0,0,0,,,1.0,,,,,,,
126,Lugano (TI),2021-12-07,20211217_HVTWGDRXY,05_2021_12_07,93,,,0,0,0,,,1.0,,,,,,,
127,Lugano (TI),2021-12-07,20211217_HVTWGDRXY,05_2021_12_07,76,,,0,0,0,1.0,,,1.0,,,,,,
128,Lugano (TI),2021-12-07,20211217_HVTWGDRXY,05_2021_12_07,73,,,0,0,0,,,,1.0,,,,,,
129,Lugano (TI),2021-12-07,20211217_HVTWGDRXY,05_2021_12_07,91,,,0,0,0,,,,,1.0,,,,,
130,Lugano (TI),2021-12-07,20211217_HVTWGDRXY,05_2021_12_07,76,,,0,0,0,,,,,,1.0,1.0,,,
131,Lugano (TI),2021-12-07,20211217_HVTWGDRXY,05_2021_12_07,76,,,0,0,0,,,,,1.0,,,1.0,,
132,Lugano (TI),2021-12-07,20211217_HVTWGDRXY,05_2021_12_07,73,,,0,0,0,,,,,,,,1.0,,
133,Lugano (TI),2021-12-07,20211217_HVTWGDRXY,05_2021_12_07,91,,,0,0,0,,,,,,,,1.0,,
134,Lugano (TI),2021-12-07,20211217_HVTWGDRXY,05_2021_12_07,92,,,0,0,0,,,,,,,,,1.0,
135,Lugano (TI),2021-12-07,20211217_HVTWGDRXY,05_2021_12_07,72,,,0,0,0,,,,,,,,,,1.0
